Title,Company,Location,Salary,Match Score,Source,Link
"Sr. Software Engineer - (must be local to MA, ME, NH, RI, or VT)","MBTA","Remote","Not specified",15,"Ruby On Remote","https://rubyonremote.com/jobs/67774-sr-software-engineer-must-be-local-to-ma-me-nh-ri-or-vt-at-mbta?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
"Senior DevOps Engineer","ZINC Zillow","Remote, Coos County","$158200 - $252800",15,"Adzuna","https://www.adzuna.com/details/5241010856?utm_medium=api&utm_source=ca69d0f7"
"Lead Product Security Engineer","M&T Bank","Remote, Coos County","$110635 - $184391",15,"Adzuna","https://www.adzuna.com/details/5240997240?utm_medium=api&utm_source=ca69d0f7"
"Senior Software Development Engineer - Big Data","Zillow","Remote, Coos County","$146566 - $146566",15,"Adzuna","https://www.adzuna.com/land/ad/5240915265?se=JHYvwS5F8BG3W-ZMKncHCQ&utm_medium=api&utm_source=ca69d0f7&v=A8D1E4A887F31BF3AB78E457149BB728778EF12A"
"Principal Software Development Engineer, Big Data","Zillow","Remote, Coos County","$166917 - $166917",15,"Adzuna","https://www.adzuna.com/details/5240915176?utm_medium=api&utm_source=ca69d0f7"
"Data Scientist","The Voleon Group","United States or Remote","$20000k - $60000k",10,"RemoteOK","https://remoteok.io/remote-jobs/remote-data-scientist-the-voleon-group-1093286"
"Principal DevSecOps Engineer","Second Front Systems","Remote","$45000k - $77500k",10,"RemoteOK","https://remoteok.io/remote-jobs/remote-principal-devsecops-engineer-second-front-systems-1093284"
"Senior React Native SDK Engineer","Nami ML","Remote","$50000k - $180000k",10,"RemoteOK","https://remoteok.io/remote-jobs/remote-senior-react-native-sdk-engineer-nami-ml-1093276"
"SDE-1","Amazon","Remote","Not specified",10,"LinkedIn","https://in.linkedin.com/jobs/view/sde-1-at-amazon-4219905124?position=5&pageNum=0&refId=WZsQa8RZnzelmWICpguVww%3D%3D&trackingId=BcH0LBW6cbBdZPejzglmAA%3D%3D"
"Senior Production Engineer","110 Yahoo Holdings Inc.","US - United States of America","$67500k - $127500k",5,"RemoteOK","https://remoteok.io/remote-jobs/remote-senior-production-engineer-110-yahoo-holdings-inc-1093325"
"Account Executive","Leadr ","United States","$37500k - $55000k",5,"RemoteOK","https://remoteok.io/remote-jobs/remote-account-executive-leadr-1093299"
"Software Engineer II","Everbridge ","United States","$70000k - $110000k",0,"RemoteOK","https://remoteok.io/remote-jobs/remote-software-engineer-ii-everbridge-1093283"
